"","question1","question2","r"
"1","seldom feel blue","how often do you feel inferior to most of the people you know",0.263472705252281
"2","seldom feel blue","how often do you have the feeling that there is nothing you can do well",0.148375870843009
"3","seldom feel blue","when in a group of people do you have trouble thinking of the right things to talk about",0.108590539894888
"4","seldom feel blue","how often do you feel worried or bothered about what other people think of you",0.281004900054445
"5","seldom feel blue","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",0.0700963344037156
"6","seldom feel blue","how confident are you that others see you as being physically appealing",0.0980455338392649
"7","seldom feel blue","do you ever think that you are a worthless individual",0.170625895843287
"8","seldom feel blue","how much do you worry about how well you get along with other people",0.163042256025067
"9","seldom feel blue","when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it",0.0963792931032567
"10","seldom feel blue","when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it",0.121660462894032
"11","seldom feel blue","compared with classmates how often do you feel you must study more than they do to get the same grades",0.155469282992033
"12","seldom feel blue","have you ever thought of yourself as physically uncoordinated",0.0587250969455216
"13","seldom feel blue","how confident do you feel that someday the people you know will look up to you and respect you",0.235591062122912
"14","seldom feel blue","how often do you worry about criticisms that might be made of your work by your teacher or employer",0.0975668618540206
"15","seldom feel blue","do you often feel uncomfortable meeting new people",0.254077045300503
"16","seldom feel blue","when you have to write an argument to convince your teacher who may disagree with your ideas",-0.004939610440116
"17","seldom feel blue","have you ever felt ashamed of your physique or figure",0.0470654118379093
"18","seldom feel blue","have you ever felt inferior to most other people in athletic ability",0.0556548406093401
"19","seldom feel blue","do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person",0.14283269814109
"20","seldom feel blue","do you ever feel afraid or anxious when you are going into a room by yourself where other people have already gathered and are talking",0.161720019111323
"21","seldom feel blue","how often do you worry whether other people like to be with you",0.166739185990955
"22","seldom feel blue","how often do you have trouble expressing your ideas when you have to put them into writing as an assignment",0.149392326581406
"23","seldom feel blue","do you often feel that most of your friends or peers are more physically attractive than yourself",0.149309658996211
"24","seldom feel blue","when involved in sports requiring physical coordination are you often concerned that you will not do well",0.0512765697396638
"25","seldom feel blue","how often do you dislike yourself",0.067082523139146
"26","seldom feel blue","how often do you feel self conscious",0.208880543117146
"27","seldom feel blue","how often are you troubled with shyness",0.144074934165935
"28","seldom feel blue","how often do you have trouble understanding things you read for class assignments",0.159117323525817
"29","seldom feel blue","do you often wish or fantasize that you were better looking",0.140526894743275
"30","seldom feel blue","have you ever thought that you lacked the ability to be a good dancer or do well at recreational activities involving coordination",0.0470707452305026
"31","seldom feel blue","in general how confident do you feel about your abilities",0.139669107434527
"32","seldom feel blue","how much do you worry about whether other people regard you as a success or failure in your job or at school",0.063555372837476
"33","seldom feel blue","when you think that some of the people you meet might have an unfavorable opinion of you how concerned or worried do you feel about it",0.278414649051656
"34","seldom feel blue","how often do you imagine that you have less scholastic ability than your classmates",0.0878818653540595
"35","seldom feel blue","have you ever been concerned or worried about your ability to attract members of the opposite sex",0.119888887654307
"36","seldom feel blue","when trying to do well at a sport and you know other people are watching how rattled or flustered do you get",0.0756408404537828
"37","am not interested in other peoples problems","how often do you feel inferior to most of the people you know",0.00063289592106579
"38","am not interested in other peoples problems","how often do you have the feeling that there is nothing you can do well",-0.0774333048144979
"39","am not interested in other peoples problems","when in a group of people do you have trouble thinking of the right things to talk about",0.198806208957877
"40","am not interested in other peoples problems","how often do you feel worried or bothered about what other people think of you",0.0258345092723253
"41","am not interested in other peoples problems","in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it",0.202964032933699
