question2,sub01,sub02,sub03,sub04,sub05,sub06,sub07,sub08,sub09,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub34,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45,sub46,sub47,sub48,sub49,sub50
how often do you feel inferior to most of the people you know,5,4,3,4,4,3,5,4,4,3,5,4,3,3,2,3,4,4,4,3,5,4,4,5,4,2,3,4,4,3,4,3,4,3,3,4,5,4,4,4,4,5,3,3,4,3,4,4,4,3
how often do you have the feeling that there is nothing you can do well,4,4,3,4,5,4,5,3,5,4,5,4,4,2,3,3,5,5,4,2,5,3,3,5,5,2,2,4,4,5,5,3,5,5,5,5,5,5,4,4,5,4,5,4,4,4,3,5,5,4
when in a group of people do you have trouble thinking of the right things to talk about,4,4,2,3,3,3,4,3,3,2,4,3,3,1,3,2,2,3,4,1,2,3,2,4,3,1,1,4,3,4,4,2,3,5,1,3,5,4,4,5,5,2,3,4,4,2,3,2,5,3
how often do you feel worried or bothered about what other people think of you,4,4,1,3,3,2,4,2,3,3,4,3,3,3,4,3,2,4,4,3,4,2,3,3,4,2,2,3,3,3,3,2,4,4,2,4,4,4,3,2,4,3,2,2,3,3,3,3,2,3
in turning in a major assignment such as a term paper how often do you feel you did an excellent job on it,2,3,3,4,1,2,1,1,2,4,2,2,3,3,5,4,3,2,2,4,2,2,3,3,3,3,4,2,2,1,2,3,1,2,5,2,2,3,3,1,3,2,3,3,3,4,2,2,1,3
how confident are you that others see you as being physically appealing,2,3,4,4,2,3,2,2,3,4,3,3,2,2,3,4,2,1,3,5,3,3,3,2,2,4,4,2,3,2,4,4,3,2,3,3,2,3,4,2,2,3,3,2,3,3,2,2,4,2
do you ever think that you are a worthless individual,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4,4,5,5,4,4,5,4,4,5,5,3,2,5,4,4,5,4,5,5,5,5,5,5,4,2,4,5,4,4,4,4,5,5,5,4
how much do you worry about how well you get along with other people,4,4,3,2,4,2,5,2,3,2,4,3,3,2,1,3,4,4,2,3,3,4,3,4,3,2,1,3,3,3,4,3,5,4,3,4,4,4,4,5,5,3,2,2,3,3,2,3,4,4
when you make an embarrassing mistake or have done something that makes you look foolish how long does it take you to get over it,4,4,4,4,2,4,4,4,4,3,3,3,4,3,3,2,2,4,4,4,3,2,4,4,3,3,1,4,3,4,4,3,4,4,2,3,4,4,4,2,3,3,4,2,3,2,3,4,4,5
when you have to read an essay and understand it for a class assignment how worried or concerned do you feel about it,4,3,3,3,2,4,4,4,3,3,4,5,2,4,4,5,2,3,5,5,3,5,4,4,4,3,4,2,4,5,5,4,3,3,3,3,4,4,3,4,4,5,3,3,4,3,3,4,5,4
compared with classmates how often do you feel you must study more than they do to get the same grades,2,3,1,2,3,5,4,4,4,2,3,3,1,3,2,4,3,3,3,4,4,4,3,5,5,3,5,2,3,3,4,3,5,1,1,5,3,3,4,4,4,3,4,3,3,5,2,2,4,3
have you ever thought of yourself as physically uncoordinated,5,4,3,2,3,2,4,5,2,3,5,3,5,1,2,3,2,5,3,3,5,1,4,5,5,1,4,2,2,5,3,2,5,5,5,3,5,5,2,4,3,2,4,5,3,5,2,3,4,3
how confident do you feel that someday the people you know will look up to you and respect you,1,2,2,3,1,3,2,3,2,4,2,2,1,3,2,3,2,2,3,3,2,3,2,2,2,4,2,2,3,1,2,3,1,2,3,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2
how often do you worry about criticisms that might be made of your work by your teacher or employer,5,3,3,4,2,3,4,3,3,2,5,3,2,4,4,2,2,3,3,2,4,5,2,3,3,2,3,1,3,3,3,3,4,3,3,3,1,4,1,4,2,5,3,3,3,4,3,3,5,2
do you often feel uncomfortable meeting new people,3,3,3,3,3,2,5,3,3,2,2,3,3,4,3,2,2,3,4,2,1,5,3,4,4,1,3,2,3,3,3,3,2,3,2,4,5,4,3,5,5,1,4,4,4,2,5,3,4,4
when you have to write an argument to convince your teacher who may disagree with your ideas,3,3,4,4,3,2,4,4,5,2,5,2,3,4,4,3,1,2,2,1,3,5,2,4,4,4,4,2,4,3,4,2,3,2,2,2,3,5,2,5,3,3,2,4,4,3,4,3,4,2
have you ever felt ashamed of your physique or figure,4,3,3,2,3,3,3,5,4,2,2,3,5,5,2,4,3,5,4,3,4,4,3,4,4,2,2,3,3,4,1,3,5,4,4,4,5,4,1,5,1,3,4,3,3,3,3,3,3,3
have you ever felt inferior to most other people in athletic ability,4,3,2,2,3,2,4,3,3,2,5,1,5,3,1,3,2,5,3,1,4,2,2,5,3,1,2,2,2,5,1,2,4,5,1,3,5,4,3,4,1,3,4,4,2,5,3,4,3,3
do you ever feel so discouraged with yourself that you wonder whether you are a worthwhile person,5,4,5,5,5,4,5,3,5,5,5,4,5,4,3,4,5,5,4,4,5,5,4,5,5,2,2,5,4,4,5,5,5,5,3,5,5,5,3,3,4,5,5,4,4,4,5,4,5,5
