a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b,c,a,b
Seldom,feel,blue,,,,,,,,,,,,,,,,,,,,,,,
Am,not,interested,in,other,people's,problems,,,,,,,,,,,,,,,,,,,
Carry,out,my,plans,,,,,,,,,,,,,,,,,,,,,,
Make,friends,easily,,,,,,,,,,,,,,,,,,,,,,,
Am,quick,to,understand,things,,,,,,,,,,,,,,,,,,,,,
Get,angry,easily,,,,,,,,,,,,,,,,,,,,,,,
Respect,authority,,,,,,,,,,,,,,,,,,,,,,,,
Leave,my,belongings,around,,,,,,,,,,,,,,,,,,,,,,
Take,charge,,,,,,,,,,,,,,,,,,,,,,,,
Enjoy,the,beauty,of,nature,,,,,,,,,,,,,,,,,,,,,
Am,filled,with,doubts,about,things,,,,,,,,,,,,,,,,,,,,
Feel,others',emotions,,,,,,,,,,,,,,,,,,,,,,,
Waste,my,time,,,,,,,,,,,,,,,,,,,,,,,
Am,hard,to,get,to,know,,,,,,,,,,,,,,,,,,,,
Have,difficulty,understanding,abstract,ideas,,,,,,,,,,,,,,,,,,,,,
Rarely,get,irritated,,,,,,,,,,,,,,,,,,,,,,,
Believe,that,I,am,better,than,others,,,,,,,,,,,,,,,,,,,
Like,order,,,,,,,,,,,,,,,,,,,,,,,,
Have,a,strong,personality,,,,,,,,,,,,,,,,,,,,,,
Believe,in,the,importance,of,art,,,,,,,,,,,,,,,,,,,,
Feel,comfortable,with,myself,,,,,,,,,,,,,,,,,,,,,,
Inquire,about,others',well-being,,,,,,,,,,,,,,,,,,,,,,
Find,it,difficult,to,get,down,to,work,,,,,,,,,,,,,,,,,,
Keep,others,at,a,distance,,,,,,,,,,,,,,,,,,,,,
Can,handle,a,lot,of,information,,,,,,,,,,,,,,,,,,,,
Get,upset,easily,,,,,,,,,,,,,,,,,,,,,,,
Hate,to,seem,pushy,,,,,,,,,,,,,,,,,,,,,,
Keep,things,tidy,,,,,,,,,,,,,,,,,,,,,,,
Lack,the,talent,for,influencing,people,,,,,,,,,,,,,,,,,,,,
Love,to,reflect,on,things,,,,,,,,,,,,,,,,,,,,,
Feel,threatened,easily,,,,,,,,,,,,,,,,,,,,,,,
Can't,be,bothered,with,other's,needs,,,,,,,,,,,,,,,,,,,,
Mess,things,up,,,,,,,,,,,,,,,,,,,,,,,
Reveal,little,about,myself,,,,,,,,,,,,,,,,,,,,,,
Like,to,solve,complex,problems,,,,,,,,,,,,,,,,,,,,,
Keep,my,emotions,under,control,,,,,,,,,,,,,,,,,,,,,
Take,advantage,of,others,,,,,,,,,,,,,,,,,,,,,,
Follow,a,schedule,,,,,,,,,,,,,,,,,,,,,,,
Know,how,to,captivate,people,,,,,,,,,,,,,,,,,,,,,
Get,deeply,immersed,in,music,,,,,,,,,,,,,,,,,,,,,
Rarely,feel,depressed,,,,,,,,,,,,,,,,,,,,,,,
Sympathize,with,others',feelings,,,,,,,,,,,,,,,,,,,,,,
Finish,what,I,start,,,,,,,,,,,,,,,,,,,,,,
Warm,up,quickly,to,others,,,,,,,,,,,,,,,,,,,,,
Avoid,philosophical,discussions,,,,,,,,,,,,,,,,,,,,,,,
Change,my,mood,a,lot,,,,,,,,,,,,,,,,,,,,,
Avoid,imposing,my,will,on,others,,,,,,,,,,,,,,,,,,,,
Am,not,bothered,by,messy,people,,,,,,,,,,,,,,,,,,,,
Wait,for,others,to,lead,the,way,,,,,,,,,,,,,,,,,,,
Do,not,like,poetry,,,,,,,,,,,,,,,,,,,,,,
Worry,about,things,,,,,,,,,,,,,,,,,,,,,,,
Am,indifferent,to,the,feelings,of,others,,,,,,,,,,,,,,,,,,,
Don't,put,my,mind,on,the,task,at,hand,,,,,,,,,,,,,,,,,
Rarely,get,caught,up,in,the,excitement,,,,,,,,,,,,,,,,,,,
Avoid,difficult,reading,material,,,,,,,,,,,,,,,,,,,,,,
Rarely,lose,my,composure,,,,,,,,,,,,,,,,,,,,,,
Rarely,put,people,under,pressure,,,,,,,,,,,,,,,,,,,,,
Want,everything,to,be,“just,right,,,,,,,,,,,,,,,,,,,,
See,myself,as,a,good,leader,,,,,,,,,,,,,,,,,,,,
